Formalisasi,Stopword Removal
"['shopee', 'layan', 'nya', 'jelek', 'masa', 'saya', 'kan', 'mau', 'transfer', 'dari', 'shopee', 'bayar', 'ke', 'atm', 'sudah', 'hari', 'tidak_ke', 'kirim', 'kirim', 'tapi', 'saldo', 'shopee', 'paynya', 'kurang', 'kan', 'aneh', 'tolong', 'dong', 'di', 'bagusin', 'buat', 'fiturnya']",shopee layan nya jelek transfer shopee bayar atm tidak ke kirim kirim saldo shopee paynya aneh tolong bagusin fiturnya
"['gratis', 'ongkos kirim', 'tapi', 'harga', 'barang', 'lebih', 'mahal', 'dari', 'belah', 'sama', 'saja', 'masih', 'murah', 'toko', 'belah', 'hahahha']",gratis ongkos kirim harga barang mahal belah murah toko belah hahahha
"['susah', 'banget', 'buat', 'bikin', 'alamat', 'baru', 'saya', 'bekas', 'masa', 'titik', 'di', 'banten', 'mau', 'checkout', 'ga', 'bisa', 'sangat', 'kecewa']",susah banget bikin alamat bekas titik banten checkout ga kecewa
"['telah', 'di', 'terbaru', 'sering', 'banget', 'jadi', 'salah', 'padahal', 'jaringan', 'bagus', 'dan', 'kuota', 'ada', 'kecewa', 'saya', 'bagai', 'guna', 'lama', 'aplikasi', 'shopee']",terbaru banget salah jaringan bagus kuota kecewa aplikasi shopee
"['promo', 'unduh', 'app', 'shoppee', 'dapat', 'pulsa', 'gratis', 'ribu', 'setelah', 'unduh', 'mana', 'ada', 'tolong', 'gratis', 'yang', 'ada', 'voucer', 'gratis', 'diskon', 'untuk', 'belanja', 'andal', 'saya', 'tetap', 'tokopedia']",promo unduh app shoppee pulsa gratis ribu unduh tolong gratis voucer gratis diskon belanja andal tokopedia
"['ada', 'bug', 'pada', 'saat', 'hendak', 'pasu', 'ongkos kirim', 'tiba', 'tiba', 'ubah', 'jadi', 'ukur', 'barang', 'sudah', 'dimasukin', 'ukurang', 'barang', 'tetapp', 'tidak_bisa', 'di', 'simpan', 'harus', 'di', 'tutup', 'app', 'dan', 'input', 'ulang', 'baru', 'bisa', 'lagi', 'ayo', 'saya', 'harus', 'kerja', 'kali', 'ini']",bug pasu ongkos kirim ubah ukur barang dimasukin ukurang barang tetapp tidak bisa simpan tutup app input ulang ayo kerja kali
"['sekarang', 'shopee', 'jadi', 'aneh', 'banget', 'masa', 'tidak', 'bisa', 'pilih', 'ekspedisi', 'kirim', 'nya', 'sendiri', 'voucer', 'gratis', 'ongkos kirim', 'cuma', 'buat', 'shopepay', 'doang']",shopee aneh banget pilih ekspedisi kirim nya voucer gratis ongkos kirim shopepay doang
"['maaf', 'saya', 'mau', 'tanya', 'kenapa', 'login', 'shopee', 'bayar', 'saya', 'selalu', 'gagal', 'padahal', 'saya', 'sudah', 'isi', 'saldo', 'mohon', 'minta', 'jelas', 'nya', 'dari', 'pihak', 'shopee']",maaf login shopee bayar gagal isi saldo mohon nya shopee
"['flash', 'sale', 'apa', 'pas', 'ulang', 'sndr', 'bahkan', 'tbtb', 'habis', 'isu bohong', 'pemasaran', 'tapi', 'salah', 'tempat', 'mohon', 'koreksi', 'tidak_buat', 'cs', 'topup', 'sia', 'juragan', 'terima kasih']",flash sale pas ulang sndr tbtb habis isu bohong pemasaran salah mohon koreksi tidak buat cs topup sia juragan terima kasih
"['sistem', 'ekspedisi', 'yang', 'sekarang', 'gk', 'bagus', 'sama', 'sekali', 'gk', 'bisa', 'pilih', 'lagi', 'kembali', 'pilih', 'ekspedisi', 'yang', 'dulu', 'atau', 'kami', 'pindah', 'ke', 'marketplace', 'yang', 'lain']",sistem ekspedisi gk bagus gk pilih pilih ekspedisi pindah marketplace
